gender,no_oarsfolk,oars_per_rower,time,lightweight,coxed
women,1,2,7:07.71,False,False
women,2,1,6:47.11,False,False
women,2,2,6:37.31,False,False
women,4,1,6:14.36,False,False
women,4,2,6:05.13,False,False
women,8,1,5:52.99,False,False
women,1,2,7:23.36,True,False
women,2,1,7:18.32,True,False
women,2,2,6:40.47,True,False
women,4,2,6:15.95,True,False
men,1,2,6:30.74,False,False
men,2,1,6:08.50,False,False
men,2,1,6:33.26,False,True
men,2,2,5:59.72,False,False
men,4,1,5:37.86,False,False
men,4,1,5:58.96,False,True
men,4,2,5:32.03,False,False
men,8,1,5:18.68,False,True
men,1,2,6:41.03,True,False
men,2,1,6:22.91,True,False
men,2,2,6:05.33,True,False
men,4,1,5:43.16,True,False
men,4,2,5:42.75,True,False
men,8,1,5:30.24,True,True

